angle_deg,bonds,angles,dihedrals,vdw,total
107.0000,0.395258,0.608629,0.115648,0.334806,1.454341
108.0000,0.395258,0.608629,0.100149,0.342221,1.446257
109.0000,0.395258,0.608629,0.085832,0.349592,1.439310
110.0000,0.395258,0.608629,0.072735,0.356893,1.433515
111.0000,0.395258,0.608629,0.060896,0.364102,1.428884
112.0000,0.395258,0.608629,0.050345,0.371196,1.425428
113.0000,0.395258,0.608629,0.041112,0.378157,1.423156
114.0000,0.395258,0.608629,0.033222,0.384964,1.422073
115.0000,0.395258,0.608629,0.026697,0.391602,1.422186
116.0000,0.395258,0.608629,0.021556,0.398054,1.423496
117.0000,0.395258,0.608629,0.017810,0.404307,1.426004
118.0000,0.395258,0.608629,0.015473,0.410349,1.429708
119.0000,0.395258,0.608629,0.014548,0.416170,1.434605
120.0000,0.395258,0.608629,0.015040,0.421763,1.440689
121.0000,0.395258,0.608629,0.016946,0.427121,1.447954
122.0000,0.395258,0.608629,0.020262,0.432240,1.456389
123.0000,0.395258,0.608629,0.024979,0.437118,1.465984
124.0000,0.395258,0.608629,0.031082,0.441755,1.476724
125.0000,0.395258,0.608629,0.038557,0.446151,1.488594
126.0000,0.395258,0.608629,0.047382,0.450309,1.501578
127.0000,0.395258,0.608629,0.057533,0.454235,1.515654
128.0000,0.395258,0.608629,0.068982,0.457933,1.530802
129.0000,0.395258,0.608629,0.081698,0.461411,1.546996
130.0000,0.395258,0.608629,0.095646,0.464678,1.564211
131.0000,0.395258,0.608629,0.110788,0.467744,1.582418
132.0000,0.395258,0.608629,0.127082,0.470617,1.601586
133.0000,0.395258,0.608629,0.144484,0.473310,1.621681
134.0000,0.395258,0.608629,0.162946,0.475834,1.642667
135.0000,0.395258,0.608629,0.182417,0.478202,1.664505
136.0000,0.395258,0.608629,0.202844,0.480424,1.687155
137.0000,0.395258,0.608629,0.224171,0.482515,1.710573
138.0000,0.395258,0.608629,0.246339,0.484487,1.734713
139.0000,0.395258,0.608629,0.269289,0.486350,1.759526
140.0000,0.395258,0.608629,0.292956,0.488118,1.784961
141.0000,0.395258,0.608629,0.317276,0.489802,1.810965
142.0000,0.395258,0.608629,0.342182,0.491412,1.837481
143.0000,0.395258,0.608629,0.367607,0.492959,1.864453
144.0000,0.395258,0.608629,0.393480,0.494452,1.891819
145.0000,0.395258,0.608629,0.419730,0.495900,1.919517
146.0000,0.395258,0.608629,0.446286,0.497311,1.947483
147.0000,0.395258,0.608629,0.473074,0.498691,1.975652
148.0000,0.395258,0.608629,0.500022,0.500046,2.003955
149.0000,0.395258,0.608629,0.527055,0.501382,2.032324
150.0000,0.395258,0.608629,0.554100,0.502701,2.060688
151.0000,0.395258,0.608629,0.581082,0.504008,2.088977
152.0000,0.395258,0.608629,0.607927,0.505305,2.117118
153.0000,0.395258,0.608629,0.634561,0.506592,2.145040
154.0000,0.395258,0.608629,0.660913,0.507869,2.172669
155.0000,0.395258,0.608629,0.686909,0.509137,2.199933
156.0000,0.395258,0.608629,0.712478,0.510394,2.226758
157.0000,0.395258,0.608629,0.737550,0.511638,2.253074
158.0000,0.395258,0.608629,0.762056,0.512866,2.278809
159.0000,0.395258,0.608629,0.785930,0.514074,2.303891
160.0000,0.395258,0.608629,0.809105,0.515260,2.328252
161.0000,0.395258,0.608629,0.831519,0.516418,2.351824
162.0000,0.395258,0.608629,0.853109,0.517544,2.374540
163.0000,0.395258,0.608629,0.873818,0.518632,2.396336
164.0000,0.395258,0.608629,0.893587,0.519677,2.417150
165.0000,0.395258,0.608629,0.912362,0.520674,2.436923
166.0000,0.395258,0.608629,0.930093,0.521616,2.455596
167.0000,0.395258,0.608629,0.946731,0.522497,2.473115
168.0000,0.395258,0.608629,0.962229,0.523312,2.489428
169.0000,0.395258,0.608629,0.976547,0.524055,2.504488
170.0000,0.395258,0.608629,0.989643,0.524719,2.518249
171.0000,0.395258,0.608629,1.001483,0.525298,2.530668
172.0000,0.395258,0.608629,1.012034,0.525788,2.541708
173.0000,0.395258,0.608629,1.021267,0.526182,2.551335
174.0000,0.395258,0.608629,1.029156,0.526475,2.559518
175.0000,0.395258,0.608629,1.035681,0.526662,2.566230
176.0000,0.395258,0.608629,1.040823,0.526738,2.571448
177.0000,0.395258,0.608629,1.044568,0.526700,2.575154
178.0000,0.395258,0.608629,1.046906,0.526542,2.577334
179.0000,0.395258,0.608629,1.047830,0.526261,2.577978
180.0000,0.395258,0.608629,1.047339,0.525853,2.577079
